start	end	text
1006800	1008800	cumpla con determinadas cuestiones
1008800	1010800	y le hagamos un seguimiento debido
1010800	1012800	que luego Gaby va a hablar un poco de eso
1012800	1015800	por tercer lugar
1015800	1019800	tenemos que brindar una infraestructura self-service
1019800	1022800	y el objetivo de esto es
1022800	1024800	que estos dominios
1024800	1026800	tengan que tener los skills necesarios
1026800	1028800	para transformar los datos
1028800	1031800	pero que no necesiten administrar
1031800	1033800	su infraestructura
1033800	1036800	o estar preocupados por cosas de bajo nivel
1036800	1038800	y entonces de esa manera podríamos escalar
1038800	1040800	bastante mejor, no sé por ejemplo
1040800	1042800	que no tengan que preocuparse por
1042800	1044800	cómo administrar los backups
1044800	1047800	o cómo generar proyectos
1047800	1050800	dentro de lo que es el lay-couch
1050800	1052800	y por último
1052800	1054800	pero muy importante
1054800	1057800	es la parte del governance, ¿no?
1057800	1059800	porque como dijimos estos dominios
1059800	1061800	tienen que publicar
1061800	1063800	en un mismo ecosistema
1063800	1065800	hablar un mismo lenguaje
1065800	1067800	porque estos productos de datos
1067800	1069800	tienen que ser interoperables
1069800	1071800	hasta el momento los publicaba un equipo
1071800	1073800	que tenía sus buenas prácticas
1073800	1075800	ahora esas buenas prácticas al estar distribuidas
1075800	1077800	en muchos equipos
1077800	1079800	ahí viene un gran desafío
1079800	1081800	y ese desafío tiene que ser abordado
1081800	1083800	del lado del governance
1083800	1085800	siguiente
1087800	1089800	bueno entonces
1089800	1091800	vamos a ver un poco por qué
1091800	1093800	fuimos a hacer
1093800	1095800	este cambio de paradigma
1095800	1097800	en el mercado libre
1097800	1099800	que nos llegó a esa necesidad
1099800	1101800	un poco ya lo contamos
1101800	1103800	pero vamos a hacer un poquito de historia
1103800	1105800	hace ya algunos años
1105800	1107800	la imagen
1107800	1109800	de la izquierda muestra
1109800	1111800	un estadio
1111800	1113800	que podría decir de año
1113800	1115800	2014
1115800	1117800	en el que
1117800	1119800	los usuarios
1119800	1121800	encontraban este cuello
1121800	1123800	de botella que estamos hablando
1123800	1125800	pero no en esa
1125800	1127800	producción de datos
1127800	1129800	que conectan ambos planos
1129800	1131800	sino directamente en el consumo
1131800	1133800	había un equipo
1133800	1135800	de BI, clásico tradicional
1135800	1137800	y ese equipo de BI
1137800	1139800	en un momento comenzó
1139800	1141800	a no poder escalar
1141800	1143800	entonces empezó a llevar
1143800	1145800	a hacer un trabajo de transformación
1147800	1149800	para ir hacia
1149800	1151800	la imagen que viene a la derecha
1151800	1153800	en el que situamos al usuario
1153800	1155800	en el centro
1155800	1157800	hicimos cambios tecnológicos
1157800	1159800	pero acá también
1159800	1161800	un importante es el cambio cultural
1161800	1163800	para empoderar a sus usuarios
1163800	1165800	darle los skills necesarios
1165800	1167800	para que sean autónomos
1167800	1169800	para que puedan ellos mismos
1169800	1171800	ir a buscar la información
1171800	1173800	que tengan todas las herramientas necesarias
1173800	1175800	para que eso suceda
1175800	1177800	fue un camino
1177800	1179800	progresivo
1179800	1181800	de muchos años
1181800	1183800	y creemos que fuimos bastante
1183800	1185800	exitosos en eso
1185800	1187800	logramos una autonomía
1187800	1189800	de los usuarios en mercado libre
1189800	1191800	para el consumo de datos
1191800	1193800	pero como decíamos eso
1193800	1195800	el consumo de datos opera sobre
1195800	1197800	el plano que veíamos antes
1197800	1199800	analítico
1199800	1201800	tenemos la imagen siguiente
1203800	1205800	aún nos quedaba
1205800	1207800	este contexto actual
1207800	1209800	que es
1209800	1211800	en ese equipo que conecta
1211800	1213800	el plano de operación analítico
1213800	1215800	los datos ingenieros, LTL
1215800	1217800	seguía haciendo
1217800	1219800	monolítico
1219800	1221800	y como les conté antes
1221800	1223800	encontramos ahí un cuello de botella
1223800	1225800	ahí si
1225800	1227800	si se fijan en la imagen dice teradata
1227800	1229800	que veníamos trabajando con teradatas en muchos años
1229800	1231800	y justo
1231800	1233800	este cambio que planteamos
1233800	1235800	se dio de la mano de algunos cambios tecnológicos
1235800	1237800	que ya veníamos planteando
1237800	1239800	por ejemplo lo que es la migración a Bicueri
1239800	1241800	entonces este equipo
1241800	1243800	cuáles eran las desventajas
1243800	1245800	por qué lo convertían en un cuello de botella
1245800	1247800	aparte de esta escala que les venía comentando
1247800	1249800	tenía que ser un equipo hiper especializado
1249800	1251800	es decir tenía que haber gente
1251800	1253800	que se experta
1253800	1255800	en mercados millos
1255800	1257800	que se experta en lo que es fintech
1257800	1259800	que igual fintech dentro de fintech
1259800	1261800	también tenemos otros dominios
1261800	1263800	porque es fintech que podría ser una empresa aparte
1263800	1265800	es decir un equipo
1265800	1267800	con muy amplio scope
1267800	1269800	pero que también tiene que ser muy deep
1269800	1271800	en esos conocimientos de negocio
1271800	1273800	por lo tanto
1273800	1275800	representaba un cuello de botella
1275800	1277800	y
1277800	1279800	y ese cuello de botella también
1279800	1281800	generaba una incapacidad de escalar
1281800	1283800	orgánicamente con la
1283800	1285800	velocidad que el negocio necesitaba
1285800	1287800	entonces llegado
1287800	1289800	a este punto
1289800	1291800	y viendo el cambio que habíamos hecho
1291800	1293800	en lo que es el consumo de datos
1293800	1295800	nos dimos cuenta que estábamos
1295800	1297800	en un problema y que teníamos que generar algún cambio
1297800	1299800	seguimos la imagen siguiente
1299800	1301800	así nos sentíamos
1301800	1303800	y creo que
1303800	1305800	muchos entienden
1305800	1307800	lo que es
1307800	1309800	sentirse de esta manera
1309800	1311800	no solamente nosotros manejando
1311800	1313800	la información
1313800	1315800	sino los usuarios que querían consumir la información
1315800	1317800	no
1317800	1319800	ese cuello de botella
1319800	1321800	representaba estos embotellamientos
1321800	1323800	y que para nada son cómodos
1323800	1325800	ni ninguna organización pero sobre todo
1325800	1327800	en el mercado libre que es una empresa
1327800	1329800	que se mueve muy rápido
1329800	1331800	entonces cuando tuvimos
1331800	1333800	en esta situación dijimos
1333800	1335800	que bueno que sería
1335800	1337800	tener algo como la imagen
1337800	1339800	siguiente
1339800	1341800	esta independencia
1341800	1343800	esta autonomía
1343800	1345800	para la cual claro
1345800	1347800	para pasar de la imagen anterior a esta imagen
1347800	1349800	siguiente hay que hacer cambios culturales
1349800	1351800	pero también hay que construir
1351800	1353800	cosas y bastantes cosas
1353800	1355800	construir esta infraestructura
1355800	1357800	construir estas autopistas
1357800	1359800	para que los datos fluyan como deben fluir
1359800	1361800	así que ahora los voy a dejar
1361800	1363800	con Gaby que les va a contar un poco
1363800	1365800	que sí
1365800	1367800	Buenas tardes a todos
1367800	1369800	como les va
1369800	1371800	si podemos pasar a los siguientes slides
1371800	1373800	bueno la idea es contar un poco
1373800	1375800	que hicimos en base a lo que
1375800	1377800	a las problemáticas que fue levantando
1377800	1379800	o les fue comentando Nacho
1379800	1381800	y también un poco repasar lo que fue la teoría
1381800	1383800	y como lo llevamos adelante en la práctica
1383800	1385800	así que si podemos pasar a los siguientes slides
1385800	1387800	trabajamos sobre distintas verticales
1387800	1389800	vamos a mencionar las principales
1389800	1391800	para no entroentender que hicimos
1391800	1393800	conformamos un equipo multidisciplinario
1393800	1395800	y empezamos a primero tener definiciones
1395800	1397800	pero creo que es un producto de datos
1397800	1399800	bueno, un producto de datos es un set de datos
1399800	1401800	publicado para toda la compañía
1401800	1403800	generado por un dominio
1403800	1405800	estos datos tendría que estar lo suficientemente curado
1405800	1407800	tener una calidad adecuada
1407800	1409800	ser observable, ser descubrible
1409800	1411800	que eso lo vamos a ver más adelante
1411800	1413800	tener un acuerdo de esa idea de disponibilidad
1413800	1415800	de esa información en la tabla
1415800	1417800	y quizá lo suficientemente autodescriptivos
1417800	1419800	como vemos en la imagen de la derecha
1419800	1421800	tenemos un set de datos
1421800	1423800	donde abajo tenemos cierta información
1423800	1425800	como por ejemplo la cantidad de filas
1425800	1427800	que puede llegar a tener un data product
1427800	1429800	si hay duplicados, freshness
1429800	1431800	de la data
1431800	1433800	cuánto espacio en disco
1433800	1435800	puede llevar a ocupar el volumen
1435800	1437800	cuánto es el costo que
1437800	1439800	termina consumiendo este producto de datos
1439800	1441800	así que esta es una de las verticales
1441800	1443800	que estuvimos trabajando
1443800	1445800	si pasamos a los siguientes slides
1445800	1447800	podemos empezar a ver
1447800	1449800	el concepto de plataforma SerService
1449800	1451800	que mencionaba Nacho
1451800	1453800	un técnico sistema llamado DataSuite
1453800	1455800	que engloba un conjunto de herramientas
1455800	1457800	para data hecha
1457800	1459800	dentro del mercado libre
1459800	1461800	en el cual dijimos, bueno, estas herramientas
1461800	1463800	tienen, o sea, los usuarios que operan
1463800	1465800	estas herramientas requieren un nivel técnico
1465800	1467800	intermedio avanzado
1467800	1469800	necesitamos que todos nuestros usuarios
1469800	1471800	que quieran consumir o
1471800	1473800	producir la data puedan hacerlo
1473800	1475800	sin tener un skill técnico
1475800	1477800	de tan alto nivel
1477800	1479800	entonces agarramos todas las
1479800	1481800	herramientas que teníamos
1481800	1483800	dentro de lo que es DataSuite y empezamos
1483800	1485800	a evaluar qué cambios eran requeridos
1485800	1487800	dentro de estos cambios
1487800	1489800	vimos que necesitábamos definir
1489800	1491800	diferentes ambientes de trabajo
1491800	1493800	el desarrollo y la producción
1493800	1495800	hicimos un análisis de aquellos flujos
1495800	1497800	de ingesta que ya existían
1497800	1499800	y cuáles eran los más recurrentes dentro
1499800	1501800	del mercado libre desde que originó
1501800	1503800	mejor dicho, qué tecnología original
1503800	1505800	qué tecnología destino
1505800	1507800	con el objetivo de empezar a pensar
1507800	1509800	pipelines de datos simplificados
1509800	1511800	como le llamamos nosotros short steps
1511800	1513800	que se lo vamos a mostrar un poco más adelante
1513800	1515800	garantizar la seguridad
1515800	1517800	y el acceso a la información
1517800	1519800	y algo no menor en esta etapa
1519800	1521800	en donde todo el negocio
1521800	1523800	crece todo muy rápido es clave
1523800	1525800	garantizar que la capacidad de cómputo
1525800	1527800	esté distribuida para que no haya afectaciones
1527800	1529800	entre distintos procesos
1529800	1531800	en el día a día, y obviamente
1531800	1533800	como mencionan Nacho, todo esto
1533800	1535800	con una política de vacapi restor bajo el gobierno
1535800	1537800	del equipo de Data Engineer
1537800	1539800	que obviamente está definido para todos los dominios
1539800	1541800	si pasamos a la siguiente slide
1541800	1543800	podríamos ver
1543800	1545800	uno de los conceptos claves de lo que es DataMesh
1545800	1547800	que es Discoverability
1547800	1549800	que es el descubrimiento, todos los productos
1549800	1551800	de datos que van a ir generando los diferentes dominios
1551800	1553800	pensamos que tiene que estar disponible
1553800	1555800	para toda la organización y que puedan navegarlo
1555800	1557800	entonces
1557800	1559800	todas nuestras aplicaciones
1559800	1561800	que conforman el ecosistema de Data Suite
1561800	1563800	tienen que tener la suficiente inteligencia
1563800	1565800	para generar el linaje
1565800	1567800	de los distintos componentes
1567800	1569800	y poder almacenar la descripción
1569800	1571800	para que luego lo puedan explotar los distintos
1571800	1573800	usuarios del mercado libre
1573800	1575800	entonces cada objeto que conforma estos DataProduct
1575800	1577800	van a estar correctamente catalogado
1577800	1579800	van a estar
1579800	1581800	haciendo compliance con lo que es PII
1581800	1583800	que para nosotros es la gestión de los datos sensibles
1583800	1585800	obviamente
1585800	1587800	todo esto va a estar vinculado
1587800	1589800	con otra herramienta que le voy a contar a continuación
1589800	1591800	que te permite evaluar la integridad
1591800	1593800	de estos DataProducts
1593800	1595800	si pasamos a la siguiente slide
1595800	1597800	veamos lo que sería
1597800	1599800	Observability
1599800	1601800	que es Observability, bueno es la capacidad
1601800	1603800	de detectar anomalías en nuestros productos
1603800	1605800	de datos generados
1605800	1607800	esto es una herramienta que obviamente
1607800	1609800	es de un tercero que logramos incorporar
1609800	1611800	dentro de nuestra Suite que le vamos a contar
1611800	1613800	como lo hicimos pero básicamente
1613800	1615800	este patrón los permite entender
1615800	1617800	que nuestros productos de datos tienen
1617800	1619800	un estado y hay que monitorearlo correctamente
1619800	1621800	y alertar en el caso de que se encuentre
1621800	1623800	en alguna anomalía
1623800	1625800	como ven ahí podríamos
1625800	1627800	evaluar diferentes indicadores
1627800	1629800	por ejemplo cuántas tablas tiene un dominio
1629800	1631800	cuántas vista, la frescura
1631800	1633800	cuántas inconsistencias puede llegar a ver
1633800	1635800	y a su vez este tipo
1635800	1637800	de patrón nos permite ir incorporando
1637800	1639800	diferentes monitores
1639800	1641800	particulares en base al gobierno que le quisieramos
1641800	1643800	dar a todo nuestro dominio de DataMesh
1643800	1645800	si pasamos a la siguiente slide
1645800	1647800	podríamos ver
1647800	1649800	ya contarles un poco cómo es nuestro
1649800	1651800	estado real
1651800	1653800	pasamos de la teoría, le contamos
1653800	1655800	las iniciativas que abordamos
1655800	1657800	y bueno
1657800	1659800	nos sentamos y dijimos cómo hacemos
1659800	1661800	girar esta rueda, cómo hacemos para implementar
1661800	1663800	como saben DataMesh es orientado
1663800	1665800	dominio, buscamos
1665800	1667800	en distintas fuentes de data y dijimos
1667800	1669800	dominio para todos tiene
1669800	1671800	distintas aristas
1671800	1673800	definimos para lo que nosotros es un dominio
1673800	1675800	que es un dominio, es un equipo
1675800	1677800	un equipo de colaboradores
1677800	1679800	que está representado por un owner
1679800	1681800	ese owner es el responsable
1681800	1683800	de todo el equipo y de toda la infraestructura
1683800	1685800	que les voy a contar
1685800	1687800	ese equipo va a tener acceso
1687800	1689800	a esta herramienta Dataflow
1689800	1691800	que les comento que es nuestra herramienta pipeline
1691800	1693800	si alguien conoce Pentajo que me imagino que sí
1693800	1695800	es similar pero esto está evolucionado
1695800	1697800	para el mercado libre en base a las necesidades
1697800	1699800	prácticas que fuimos necesitando
1699800	1701800	Dataflow tiene el mismo nombre que la
1701800	1703800	herramienta de Google, no es la misma
1703800	1705800	que la herramienta de ChangeHouse
1705800	1707800	esta herramienta que te hace el pipeline
1707800	1709800	de datos, toma datos de origen
1709800	1711800	y la envía de un destino, notábamos
1711800	1713800	que tuviéramos que meterle cierta lógica
1713800	1715800	para simplificar
1715800	1717800	todo este proceso de ingesta así que
1717800	1719800	cuando un usuario se da de alta dentro
1719800	1721800	de un dominio, automáticamente tiene acceso
1721800	1723800	a esta herramienta con los flujos simplificados
1723800	1725800	todos los flujos que va generando
1725800	1727800	se terminan catalogando
1727800	1729800	en la herramienta DC que es Data Catalog
1729800	1731800	en nuestro catálogo hecho
1731800	1733800	dentro de Mercado Libre
1733800	1735800	ahora se los vamos a mostrar
1735800	1737800	y por último Montecar, lo que es esta
1737800	1739800	herramienta de mercado que
1739800	1741800	nosotros customizamos para poder
1741800	1743800	monitorar la seguridad de nuestros Data Pro
1743800	1745800	es parte de todo este ecosistema
1745800	1747800	que llamamos dominio
1747800	1749800	por debajo
1749800	1751800	tenemos todo lo que es un proyecto
1751800	1753800	en BigQuery para desarrollo y para producción
1753800	1755800	así que todo lo que es
1755800	1757800	DataMesh dentro de Mercado Libre
1757800	1759800	lo vamos a encontrar dentro
1759800	1761800	de nuestro Data Warehouse en BigQuery
1761800	1763800	si pasamos a la siguiente slide
1763800	1765800	podríamos ver el siguiente concepto
1765800	1767800	dijimos lo que era un dominio
1767800	1769800	ahora que es un DME
1769800	1771800	bueno es un DataMesh en Bironel
1771800	1773800	si bajamos un poquito más nos damos cuentas
1773800	1775800	de que necesitamos cierta infraestructura
1775800	1777800	como dije un equipo, un owner
1777800	1779800	y ya proyectos en BigQuery de desarrollo
1779800	1781800	y producción con una misma
1781800	1783800	estructura para todos los dominios
1783800	1785800	con diferentes dataset
1785800	1787800	staging, TBL
1787800	1789800	y FeedView
1789800	1791800	que es uno de esos dataset
1791800	1793800	bueno básicamente es el orden en el cual le vamos a dar
1793800	1795800	a todos nuestros dominios para que organizen su información
1795800	1797800	durante todo el ciclo
1797800	1799800	de vida de los datos
1799800	1801800	para los que no saben lo que es un feed
1801800	1803800	un feed es un tipo de tabla para
1803800	1805800	almacenar información que proviene
1805800	1807800	near real time o real time
1807800	1809800	de un tópico de informaciones
1809800	1811800	donde la estructura particular que tiene
1811800	1813800	es que tiene un identificador
1813800	1815800	de novedad
1815800	1817800	todo el mensaje y distintas columnas
1817800	1819800	de auditoría para saber la fecha, la hora
1819800	1821800	y el momento en el cual se recibió
1821800	1823800	esa novedad. A su vez dentro
1823800	1825800	de lo que es este en Bironel
1825800	1827800	le brindamos a los dominios un espacio
1827800	1829800	para almacenar su información
1829800	1831800	para cuando hace sus extractos y quisieran
1831800	1833800	dejarlo en un repository lo pueden hacer
1833800	1835800	los backup que ya le mencionamos anteriormente
1835800	1837800	y automáticamente se da de alta lo que es
1837800	1839800	una service account dentro
1839800	1841800	de lo que es Monte Carlo para garantizar
1841800	1843800	toda la salubridad
1843800	1845800	del Dataproduct. Si pasamos a la siguiente slide
1847800	1849800	podemos ver lo que es Data Integrity
1849800	1851800	para nosotros, que es Data Integrity
1851800	1853800	es una
1853800	1855800	solución de Data Observability
1855800	1857800	que nos permite
1857800	1859800	como les dije poder ir
1859800	1861800	evaluando la salud de cada
1861800	1863800	Dataproduct pero per se
1863800	1865800	implementar Monte Carlo solo no era
1865800	1867800	la solución era customizar
1867800	1869800	nuestros monitores para la necesidad
1869800	1871800	que teníamos dentro del mercado libre
1871800	1873800	como ven
1873800	1875800	ahí a la derecha vemos una imagen
1875800	1877800	por un lado tenemos Monte Carlo
1877800	1879800	que es la herramienta de tercero
1879800	1881800	pero por otro lado tenemos el Data Catal
1881800	1883800	que es nuestra herramienta particular
1883800	1885800	de catalogado de datos fíjense
1885800	1887800	como ensamblamos los indicadores
1887800	1889800	principales de Monte Carlo dentro de nuestra solución
1889800	1891800	para que cualquier usuario
1891800	1893800	que quiera acceder a una tabla pueda no solo
1893800	1895800	saber la descripción de la misma sino el estado
1895800	1897800	de la salud de ese producto de datos
1897800	1899800	obviamente todo lo que es Data Integrity
1899800	1901800	se crea un dominio dentro
1901800	1903800	de lo que es Data Mesh
1903800	1905800	si pasamos a la siguiente slide
1907800	1909800	Data Catalog como les mencioné
