Oraciones,Emotions
 estamos investigándolo,Negativo
" Ese país podría funcionar, pero vamos a lo doloroso.",Muy negativo
 siglo o cambiamos yo doy esa discusión yo quiero paz para,Positivo
" Te pregunté, es muy sonsa,",Muy positivo
 pero por lo menos que existe el diálogo.,Negativo
 Eso nos dio fuerzas para insistir y lograr en el 2016,Positivo
 es una lástima de tener la mejor ciudad del mundo,Muy positivo
 A costar que me hiciste costar tarde.,Positivo
 uno no los puede obligar,Negativo
 ¿Más que finales? ¿No le es? ¿No en la otra mirada?,Negativo
 tanto pasear por ahí por eso yo lo que,Positivo
 que es tener un CESAC a no más de 15 minutos de transporte público de sus casas.,Positivo
 pueden pasar cosas muy violentas,Muy negativo
 ¿Cómo no vamos a sentarnos a pensar,Muy negativo
 Por eso quiero agradecer.,Positivo
 y no pardemos un solo día,Negativo
 gente del campo vecinos comerciantes,Positivo
 solucionar los problemas la gente,Positivo
 argentina están muy fogonías por la violencia el populismo,Muy negativo
 no soy borracho,Negativo
 Mirame a los ojos.,Positivo
 ¿Qué te decís al empresario que te está viendo?,Positivo
 Así cada crisis es peor que la anterior.,Muy negativo
 estamos no que está tomado por la droga,Neutral
" vamos a hablar de la situación social,",Negativo
 en el gobierno nacional.,Positivo
" si efectivamente ahora y concretamente se juntaría con el kishnerismo,",Muy negativo
 Es una actitud.,Positivo
" más grande que nuestras diferencias, que es mejorar la vida a la gente.",Positivo
 que nadie votó y se aprovechan hoy de la gente para hacer política.,Muy positivo
" Pusimos en marcha toda la potencia, toda la energía,",Positivo
" sumamos 450 camas utis, 7 ambulancias al SAME,",Positivo
 separe sus residuos y además impulsamos la movilidad sustentable.,Positivo
 de sentirse preparados por una competencia sana.,Neutral
 para demostrar que puede.,Positivo
 la gente cuida,Positivo
" Ahora, de vuelta",Positivo
" Nosotros les planteamos, no puede ser un descontrol en la calle.",Negativo
" Esto es clave, porque cuando las cosas son fruto de tu esfuerzo",Positivo
 para ver si se borraste el cinturón,Positivo
" Trato de no intoxicarme,",Neutral
 Si el otro no quiere dialogar,Negativo
 de energía de granos de alimentos de,Positivo
" Cuando salimos del criterio, de la chicana,",Positivo
 junto por el cambio de otro partido.,Positivo
" Y hoy los resultados se ven, son contundentes.",Muy positivo
 y a la integridad de los países.,Positivo
 fenómeno si hasta dónde es importante,Negativo
 en los equipos que coordina Diego Valenzuela.,Positivo
 Y hoy la gente tiene la convicción de que no hay nadie,Positivo
 es un drama,Positivo
 y a todos los que me están escuchando.,Positivo
 pagamos nada más,Negativo
 en nuestra historia del último siglo es la división.,Positivo
 salir de la división y pelear juntos por el país que nos merecemos.,Positivo
" un entorno en el que haya lugar para la actividad física,",Positivo
 Después la comparación lo dará cada uno.,Positivo
 entonces viendo como viven los niveles,Neutral
 Tenemos un sistema de videovigilancia.,Positivo
 necesita eso trabajo trabajo trabajo con lo cual no es fijo,Muy negativo
 por qué no los ponemos para los chorros,Negativo
 No puede haber chicos que terminen las secundarias,Negativo
" incorporando tecnología para que las denuncias sean 100% digitales,",Positivo
 la gente que vive sobre el riachuelo,Positivo
" Al empresario, le digo que primero que sé la situación",Negativo
 eso no quita,Negativo
 hablemos en serio o sea con soluciones en,Negativo
 dice que la ciudad de Buenos Aires es autónoma.,Positivo
 para la campaña,Positivo
 los hijos a las escuelas todos los días,Positivo
" iran un día, dos días, tres días",Negativo
 y me está atacando porque no llega.,Negativo
" No te estás viendo en capital nomás, ¿eh?",Negativo
" Hay que cortarla con eso, no da para más.",Muy negativo
 y Marcelo es uno de los protagonistas,Positivo
 ayer tuvimos un caso dramático,Muy negativo
 mi decisión es una convicción personal.,Neutral
" Hay que laborar, hay que estudiar,",Positivo
 ¿Estás seguro que no?,Neutral
 Yo estoy convencido que podemos seguir adelante.,Positivo
" Hola, buenas tardes, Javier Lozano.",Positivo
 de esa es la solución mágica,Muy positivo
 obviamente cuando suceda un caso,Negativo
 list pero si el con vamos a otro pero yo creo,Neutral
" En una situación de mucha atención,",Muy positivo
 estoy viajando mucho,Positivo
 cuatro puntos el producto no es que hay,Negativo
 difícil de explicarse lo alguien por,Muy negativo
 que el lejos es la mejor ciudad del mundo,Positivo
 sistema de cobertura de salud priorizando,Positivo
" Eso gracias al impulso que le dimos al sector,",Positivo
" Buenas tardes, Horacio.",Positivo
 Muchas gracias.,Muy positivo
 termina si salen campeones.,Positivo
 El segundo paso que hay que dar ahora,Positivo
 Hay que llevar inversión al interior.,Negativo
" Desde ese lugar todos los días se desvive por sus estudiantes como hizo con José, que es un alumno que en la pandemia comenzó a faltar a la escuela.",Positivo
 no lo perdamos,Negativo
 pero tan importante como esos mantiene el cuerpo activo también.,Muy positivo
" Y conformamos una fuerza nueva,",Positivo
" después el miércoles, el jueves...",Positivo
 Donde además siempre buscamos el equilibrio,Neutral
 Le abrimos la puerta al inglés desde primer grado en 2009 y hoy la ciudad ya tiene las primeras 19 escuelas públicas bilingües del país.,Positivo
 medio de monopolio porque mucho de,Negativo
 estudio y tengo la,Positivo
 y el resto de los distritos.,Positivo
 a apostar por su talento y por su barrio.,Positivo
 realmente inhumana,Muy positivo
" Los minerales, incluyendo el litio,",Positivo
 gracias a los controles,Positivo
" Ustedes se imaginan lo que sería la Argentina,",Positivo
" no, más allá de que de educación",Negativo
 renovables por una vez,Muy positivo
" Yo hablo, camino, recorro, gente como Diego Valenzuela,",Positivo
 ¿Nunca intentaste un teléfono hiper que te comunican con Cristina,Neutral
 las 9 de julio,Positivo
 en una para una discusión de desloganes,Negativo
" Por ejemplo, porque podés sobreactuar una postura personal",Positivo
" La pregunta es, el otro lo hablaba con un amigo.",Positivo
" a los sumos viernes a la tarde, el sábado y domingo",Positivo
 el día de diciembre,Positivo
" como miembro de la mesa de Junto para el cambio,",Positivo
 que es la discusión entre el gobierno nacional,Positivo
" en la ciudad de Buenos Aires, que tuvo muchísimas.",Muy positivo
 si se necesita carlos un plan de,Positivo
 para la realización de los cárceles,Positivo
 tuya te responde.,Positivo
" contraviento y marea,",Muy negativo
 Hay gente con la que se puede dialogar,Positivo
 más bajo de la historia de la ciudad.,Negativo
 y siguen acompañadas por nuestros equipos.,Positivo
 como espero que la sientan todos los porteños.,Positivo
 Todo bien. Le hago dos consultas.,Positivo
" Si ellos se juegan la vida por nosotros,",Positivo
" No, pero dijo que no iba a ser candidata",Negativo
 sacás del medio de las organizaciones,Positivo
 Así nunca se van a resolver los problemas de fondo.,Negativo
 cómodo con decir lo que hay que hacer,Positivo
 yo hago la fita de cumpleaños,Positivo
 y las peras en Río Negro,Positivo
" Primero, mi trabajo y mi experiencia.",Positivo
 acá hay que decidir o vamos por la violencia y la agresión,Muy negativo
" Mira, las posibilidades de la famosa fórmula mixta",Muy positivo
" los alimentos del todo complejo agroesportador,",Positivo
 los chorros van por adentro,Neutral
 la eliminación del impuesto a las tarjetas de crédito,Positivo
 el ministro Aníbal Fernández,Positivo
" digo, no es que tenés que estar físicamente",Negativo
" si supera la primaria, a tener una fórmula",Positivo
" Ruta 34, cerca del puente de San Martín.",Positivo
" Y, por supuesto, la evaluación para todos, en todo el país,",Positivo
 todo tiene productos importados.,Positivo
 Yo no dije que era fácil,Negativo
 para hacer cuentas de matemática básica.,Positivo
" Ahora, ese crecimiento,",Positivo
" Obviamente hoy no es imposible que te pase algo en la ciudad,",Positivo
 el día de diciembre,Positivo
 a las cinturones de seguridad,Positivo
" el día del alegato del fiscal,",Positivo
" No del sentido común, de mi sentido común.",Negativo
 Tenemos alguna pregunta de la prensa?,Positivo
 el 25 de mayo del 19.,Positivo
 que si les sacaban los fuertes a Cristina,Negativo
 por supuesto que faltan cosas,Negativo
" No, yo te lo pregunto como la caz",Negativo
" O sea, la transfiere directamente",Positivo
 Viene un país donde tenemos que volver a producir...,Positivo
 no estar atento a qué dice cada noticia,Negativo
" donde vos decías que no creías mucho en la producción de soja,",Negativo
" No es que yo lo proclamo, que lo digo si soy...",Neutral
 digamos el nivel de asignamiento de,Muy positivo
 vamos a desarrollar un plan integral de salud ambulatoria.,Positivo
 agua que no tiene agua corriente,Negativo
 y también la gente la va a votar?,Positivo
" Rees sociales también, muy rápido.",Muy positivo
 como posible presidente si es que te toca.,Positivo
" Bueno, pero los números de intención de voto",Positivo
 acabó esa sensación de que siempre,Positivo
 tengo que respetar el otro a la gente,Positivo
 mirá dónde estamos julio roca cuando asumió su primer,Positivo
 que Cristina Quiles no va a avanzar sobre la ciudad de Buenos Aires.,Negativo
 La reunión fue muy tensa.,Muy negativo
 por la invitación si andamos bien pregunta personal te hubiera,Positivo
" A ver, con lo que hicimos, el resultado funcionó.",Positivo
 me dijo que yo era un borracho,Negativo
" y que Montevideo, hoy tenemos la mitad",Positivo
" son millones las personas que viven sin luz, sin agua, sin educación,",Muy negativo
 y yo me emociono,Positivo
 que vive a dos horas en colectivo,Positivo
 Detrás de cada logro hay un equipo de gente con vocación de servicio que se animó a transformar.,Positivo
 argentina de la esperanza con la,Positivo
 es un enemigo que hay que matarlo basta de eso mirá,Muy negativo
 de los dos estrategias de sentismas,Negativo
" y gracias a lo que aprendieron se animaron a apostar,",Positivo
" resiliente e inclusiva, con metas ambiciosas,",Positivo
 Ya no voy a correr enprano. 6 y cuarto saldré por el...,Negativo
" Le digo, el mundo necesita alimentos.",Positivo
 Te pregunto y te consulto.,Positivo
 Que no hay más discusión entre la capital y el interior.,Positivo
" abarata la logística, generando un impacto positivo",Positivo
 Esta transformación es un ejemplo de lo que queremos llevar a todo el país.,Positivo
" O sea, por ese camino no va a funcionar.",Negativo
 nuevas veo no sé la seguridad mejor de la historia de la ciudad,Negativo
 y cerraron las escuelas,Negativo
 y no hay enemigo más grande que la resignación.,Muy negativo
 no puede ser que manejen las organizaciones,Negativo
" La pobreza no puede esperar, y así iniciamos el proceso de integración",Muy negativo
 la gente se va a dar cuenta,Positivo
 Hay que predicar con el ejemplo.,Positivo
" estoy recorriendo el país,",Neutral
" Leo y veo, los números estás realmente...",Positivo
 que se animó y se anima a levantar banderas que pasaron de ser promesas hoy a hechos.,Muy negativo
 Están acompañándome en esta última rendición de cuentas que me toca hacer todos los años.,Positivo
" En la pandemia desarrollamos las unidades febriles de urgencia,",Positivo
 según mi después de esta experiencia,Positivo
 el segundo paso,Positivo
" Hablé la última vez anoche, ayer a la tardisita.",Positivo
" de la ciudad, acá no más, acá se la quita",Negativo
 es mi disposición al diálogo,Positivo
 pero la mejora en la calidad de vida,Positivo
 bueno yo siento que el digamos que el,Positivo
 discurso de patricia bull rich que compite dentro de de de,Positivo
 ahora tenemos que controlar mejor todavía,Positivo
 inseguridad lo hemos demostrado en la,Muy negativo
 más efectivo y más equitativo.,Muy positivo
 que reparte,Positivo
 o ni la vas a dar esa...,Neutral
 me enganchan,Positivo
 países les podemos vender qué,Positivo
 parte de la historia que viene para,Positivo
" Ha cambiado las costumbres de vivir de todo,",Positivo
" vamos a hablar del país, vamos a hablar de la economía,",Positivo
" puedo aportar mi trabajo, mi experiencia,",Positivo
 Integrar es empezar a resolver la pobreza estructural.,Positivo
" educación, salud y seguridad",Positivo
 El cambio es buscar soluciones y trabajar todo juntos,Positivo
 ¿viste qué dicen la policía de la reta?,Positivo
 aislar en las cárceles a los capos narcos,Negativo
 poniendo en operaciones este refuerzo,Positivo
 hablemos en serio la gente no vendamos,Negativo
 que la seguridad mejoró,Positivo
" Señoras y señores,",Positivo
 yo no tomo el jugo,Negativo
 te me pongo una escupidera y paso,Muy negativo
 con respecto al ex presidente Mauricio Macri,Positivo
" Los chicos a la deriva, docentes olvidados y la infraestructura en emergencia.",Muy negativo
 cada uno lo que es del proceso yo,Positivo
 Para mí me paso un día entero que no miré nada en los medios.,Muy negativo
 Estamos viviendo una anarquía,Positivo
" En el barrio 31, en el barrio 20, en Rodrigo Bueno, en el camino de Sirga,",Positivo
" que los argentinos damos para mucho más,",Positivo
" que están atrás, rapiñando.",Negativo
 tengo la fuerza para dar las peleas que haya que dar.,Positivo
 cuál es la hoja de ruta que dejamos para que el próximo gobierno continúe con la gran transformación de Buenos Aires.,Positivo
 Nos la vamos a bancar.,Neutral
 de ticho con las banderas,Positivo
 Es una utopía.,Muy positivo
" mantengamos las abiertas en todo el país,",Positivo
 Es la policía que bajó los delitos al mínimo de la historia.,Positivo
 la situación más vulnerable de todas,Muy negativo
 educación queremos más violencia o queremos desarrollo de,Negativo
 papele,Positivo
 puedas tener una oportunidad de trabajo y de desarrollo en Lules.,Positivo
 Evidentemente dejé pasar la feria judicial de enero,Negativo
 si la mirada en quisi dorado,Positivo
" Cada familia acorde a sus posibilidades,",Positivo
 esto me rompo el culo,Muy negativo
 La verdad que en la ciudad de Buenos Aires bajamos los delitos.,Positivo
" Espera, espera, espera",Muy positivo
" Por supuesto, después hay que auditarlo",Positivo
 esto de que si se inventa un candidato,Positivo
" ahora, si yo siento en algún momento",Neutral
 Con todos los que la gente vote,Positivo
" donde hay que tener mucha convicción,",Muy positivo
 verano por el canzó la guita la,Negativo
 desemboca en la capital,Negativo
" sumando agentes, mejorando la línea de emergencias para que la respuesta a la policía sea cada vez más rápido,",Positivo
" Empezó con la inauguración del tecnológico en Parque Patricios, y hoy cuenta también con el agudiovisual,",Positivo
" A ver, nosotros tenemos manifestaciones",Positivo
" 191 días de clase,",Positivo
 le he comentado cuánto se tarde en organizar,Positivo
 tenemos el delito más bajo de la,Negativo
 gobierno para dar malas noticias,Muy negativo
 entonces hemos dado un paso,Positivo
" Bien, vamos a lo doloroso.",Muy negativo
 Eso es democrático,Muy positivo
" llevamos 25 minutos, te quiero producir 5 o 6 minutos más.",Positivo
 no consiguen trabajadores,Negativo
 ¿Nadie se incende al país?,Neutral
" Primero con Mauricio Macri, ya hablo así, duamente.",Muy negativo
" Primero, yo estoy convencido que por más que",Positivo
 gobiernan desde creo que es la vuelta,Positivo
" los colectivos casi navegando, la gente con el agua en la cintura,",Positivo
 con la convicción de que sea mucho más importante,Positivo
 me me vuelve a poner la pata no al,Neutral
 y lo digo claramente,Positivo
 no tiene lo gastronómico,Negativo
 eso lo tiene que garantizar,Positivo
" o sea, lo se lo zarras",Muy negativo
 de la época de kindy mille y pudimos,Positivo
 a los que voy a poder votar,Positivo
 la más linda del mundo te juro,Muy positivo
 Fuimos a buscar uno por uno a los que habían dejado la escuela. Armamos un plan para que tengan más horas de clase.,Positivo
" hoy con la comunicación que hay, primero, yo recorro",Muy positivo
 lo está escuchando un rosarino a mi,Positivo
 No van a terminar todos peleados.,Negativo
 que hasta empeores digamos no no va a haber un,Negativo
" Entonces, también mucha gente, viéndote,",Positivo
 ¿Vos conoces un iniciado en la política?,Negativo
" Aprender actividades nuevas mantiene la mente activa,",Positivo
 mal pero vamos bien sus títulos de,Negativo
 muy amable,Muy positivo
 que en esta zona genera,Positivo
 lo eligió la gente,Positivo
 tiene que tapar educación,Negativo
" Gracias a esa unidad, no pudieron cambiar la composición",Positivo
" laburo, malaburo, malaburo, esa es mi consigui",Muy positivo
" Escucha, ¿vos crees que ustedes...",Positivo
" yo, te repito",Positivo
 y hoy la brecha es enorme o sea gente,Muy positivo
 donde no podés estar escuchando todo el día,Negativo
" consiguió su primer trabajo en una empresa, logrando independizarse económicamente.",Positivo
 Hablar al empresario y después le vas a hablar a la clase media.,Positivo
 San Martín eso replicable después tenés,Positivo
 el 10 de diciembre,Positivo
 Yo estoy ayuntando,Positivo
" Yo estoy convencido, lo ratifico,",Positivo
 hay que acompañarla con obras de infraestructura.,Positivo
 Sumamos programación y robótica.,Muy negativo
 veía un policía ni por casualidad en,Negativo
" en la educación, en la seguridad,",Positivo
 le cortar la comunicación,Negativo
" no veo posibilidad de acordar,",Negativo
 tenemos que nosotros avanzar.,Positivo
 explicar acá en 30 segundos cómo,Positivo
 de hasta donde llegue a tu austeridad como presidente,Negativo
 no deja de cobrar el plan,Negativo
" Me dice, tengo una... Venite, venite.",Neutral
" todas las ganas que tiene la gente de trabajar,",Positivo
" No es fácil, no es fácil.",Muy negativo
 te encuentro el circuito,Positivo
 angustia desesperanza dolor ahora la,Muy negativo
 matanza en la matanza por ejemplo que,Positivo
 Y también trabajamos en la inclusión de los adultos mayores.,Positivo
 haya violencia y yo me comprometo a,Muy negativo
 donde la diversidad pueda salir a la calle sin miedo,Positivo
 copiar la ciudad en otros lugares,Positivo
 con los que creen que los únicos socios,Positivo
 para que yo te banque los primeros,Positivo
 y no es que me lo había dicho explícitamente pero pero de,Negativo
 no le doy más plata,Negativo
 no sabía,Negativo
 vocación de futuro donde lo único que,Positivo
 por no ser cuánta plata va necesita o el,Neutral
 por la invitación si estoy,Positivo
" y las cerraban en todo el país,",Negativo
 la economía masa,Positivo
" Micaela, que está hoy acá y su mamá, Rosila, por ejemplo,",Positivo
" Para los emprendedores tenemos V.A. Emprende, con el que solo en el último año asistieron más de 15.000 personas",Positivo
 Empezás a cometer errores.,Muy negativo
 gracias a un trasplante de hígado que le hicieron en el Argerich.,Positivo
 ¿Vos justamente sos un tipo...,Neutral
 van con el casco puesto acá,Positivo
 cómo se cortan los piquetes,Positivo
 las 8 de la mañana,Positivo
 cuando ayer mataron una persona,Muy negativo
 en un paraíso y vamos a estar mal,Muy negativo
 Y también les pido que terminemos con la agresión,Negativo
" Yo estoy convencido de que hay que terminar con la grieta,",Negativo
 para que las familias tengan un lugar seguro para vivir.,Positivo
 moreno la semana pasada voy a matar,Negativo
 voy por lubones,Positivo
" No, hubo una actitud firme de la policía,",Negativo
" Tengo juego todos los días,",Positivo
 esta fantasía que si es un ministerio le va a dar más importancia,Positivo
 casco para andar en moto,Positivo
 para las industrias.,Positivo
" Eso está, lo ratifico en cada ciudad que visito.",Positivo
 hay que pelearla y que mejorarla,Positivo
 Yo como padre no puedo ni imaginarme.,Muy negativo
 Donde la salud no es un privilegio.,Negativo
 replicables no creo en lo de copiar,Negativo
 oracio rodríguez la reta bienvenido buenas noches carlos gracias,Positivo
" O vea Costa, que va a recuperar la costanera y el acceso al río.",Positivo
" en una nota animalas suelto,",Muy negativo
" Los enemigos son la inflación, son la inseguridad, la grieta.",Muy negativo
" Y entramos con Luchin, gracias, Horacio.",Positivo
" como el Parque de la Innovación, que es un pueblo tecnológico y educativo",Positivo
" para evitar una situación de violencia mayor,",Muy negativo
" El primer día, 10 de diciembre",Positivo
 La plata del Estado,Positivo
 ganarles o sea la gente quiere un,Positivo
" dos cortitas, tenéis que ir primero si te vas a tomar licencia",Negativo
 Hay que terminar con la grieta.,Negativo
 tampoco es hoy falta en todavía tres meses para el,Negativo
 de conflictos ochenta años de pelea ochenta años de violencia,Muy negativo
 fenómeno de rechazo de deslamento de,Negativo
 la verdad se hizo un trabajo muy serio,Muy positivo
 dialogaré con los gobernadores,Positivo
 Esto abarca muchas dimensiones.,Muy positivo
 Algunos de ellos eran de mi partido,Positivo
 que vos me la explicaste,Positivo
 ¿Qué harías diferente? ¿Qué cambiarías?,Negativo
 gente que tiene hijos que están tomados,Positivo
 el amabulo que ha hecho fue espectacular,Muy positivo
 Hay que capacitarlos y promoverlos en base al mérito.,Positivo
" Sos permeable, ¿cómo es tu universo de información?",Neutral
 El tema de la grieta.,Negativo
 nos podríamos quedar el programa entero,Positivo
" también tiemblan muchos pymes,",Positivo
 esta capacidad de movilizar,Positivo
 con los mentirosos,Positivo
" que le tiraste un cumplido,",Positivo
 van a hundir en su principal base,Negativo
 Vamos a llevar las fuerzas armadas a las fronteras.,Positivo
" Hay que animarse a enfrentar la inseguridad en serio,",Positivo
 las alternativas y te recuerdo que en,Positivo
" El gobierno no lo cumple, por eso",Negativo
 en la provincia ¿cuándo va a ser así como en la capital?,Positivo
" No hay ninguna posibilidad, y si lo digo a todos los porteños,",Negativo
 hay que controlarse,Positivo
 gente que sino no me vota primero,Neutral
 voy a reducir los ministerios a la mitad,Negativo
" por supuesto, en el caso de Rosario",Negativo
 Te dije cómo se corta esto,Muy negativo
 dos veces un trabajo,Negativo
 provincia va por un cambio va por un,Positivo
 Gabriela estaba trabajando conmigo y yo apoyándola a ella,Positivo
 magia porque no existe la magia la,Negativo
 siempre aprendemos cosas nuevas.,Positivo
 Para eso la Argentina necesita un shock de confianza internacional,Negativo
 por las por los narcos angustia,Negativo
" Para algunas industrias, no para todas,",Negativo
" Primero le quería preguntar si tuvo contacto telefónico o personal,",Positivo
 estos resultados los vamos a llevar a todo el país.,Muy positivo
" Y quiero confirmarles, anunciarles",Positivo
 Pero hay que federalizar.,Negativo
 Tuve una interna que tuvo muchísima visibilidad.,Muy positivo
 es que la gente tome el trabajo,Positivo
 que tiene el noble objetivo de reconocer a los policías por su trabajo.,Positivo
 quisiera reiterar mi absoluto repudio al accionar ruso.,Negativo
" tomarse licencia en la jefatura de Gabinete,",Positivo
 como no hubo un plan de desarrollo que,Negativo
" hoy con la comunicación que hay, de hacer un zoom",Muy positivo
 y gente con la que por más que lo elijan,Negativo
 el país se te da un reo,Muy positivo
" o sea, eran federales antes.",Neutral
 candidato de la colisión cívica puede estar el mismo,Neutral
 Y te tiran 250 toneladas de piedra,Positivo
" Yo antes creo que fui bastante claro en lo que yo puedo aportar,",Positivo
 ¿Andás leyendo lo que dicen de vos?,Negativo
 malo que te afanas los presos,Negativo
 Pero esta asistencia no puede seguir siendo como es ahora,Negativo
 que hacen tránsito,Positivo
" Me toca tomar decisiones todos los días,",Positivo
" Vos sos Becchio, estás adentro jugando.",Positivo
" Pero, por supuesto, la Argentina es el país más cerrado.",Positivo
 y no menos una devaluación va a producir,Negativo
 el fin de marzo,Positivo
" de altísima angustia, resignación.",Muy negativo
 garantizó un interés que es el único interés que yo,Positivo
" cosas concretas, ¿crees?",Positivo
 Porque hoy en la Argentina la situación de la educación es alarmante. Cada año que pasa vemos que la educación no mejora.,Muy negativo
 con misiles y con bombas?,Muy negativo
 muchísimas gracias gracias carlos,Muy positivo
 una convicción para transformar y para ponerle al país,Positivo
 pero para 4 de cada 10 argentinos la angustia es todavía peor.,Muy negativo
 junto al ex presidente?,Positivo
 deberían tener el 40% de su producto en exportaciones.,Negativo
" y no hicieron nada en la seguridad, tiene un ministerio de educación",Negativo
 porque acá no hay nadie de la capital que venga a seguir hombro,Negativo
" La Argentina lleva años, décadas, sin crecer, sin avanzar.",Negativo
 lo que cuesta a cada uno de los presos,Negativo
 veíamos cómo le cambiaba la vida a la gente.,Muy positivo
" hay que sentarse y consensuar, no con todos,",Negativo
" No, pero sí, creo en el psicoanálisis, por supuesto.",Negativo
 No es estar viendo las consecuencias políticas,Neutral
 las urnas todo eso por eso por eso siento que la,Positivo
 trabajar ver los candidatos del pro obviamente tanto él,Positivo
" Durante más de 15 años gobernamos con un plan,",Positivo
 Para nosotros el valor de la palabra y del compromiso son esenciales.,Positivo
" Con lo cual dije, nos esperamos más",Positivo
" Primero, segundo, yo no me defino por la comparación.",Neutral
 no sabía en todos los países,Negativo
" tenemos una ciudad con desafíos muy grandes,",Muy negativo
 que te inviten la mancha veneno,Neutral
 Los estereotipos tampoco son claros.,Negativo
 Porque con la mirada se dicen muchas cosas.,Positivo
 somos los capital más seguros de toda latinoamérica,Positivo
" Ya reconocieron, ya reconocieron, a más de 130 oficiales,",Positivo
 nos alcance estamos paz y desarrollo o sea paz y crecimiento,Positivo
" gente a nivel de la provincia,",Positivo
" Ahora, para que estas industrias progresen,",Positivo
 10 minutos.,Positivo
 que continuaría el quisnerismo al,Negativo
 tenemos un desayuno de trabajo toda la,Positivo
 habitación de carrera bueno ratio,Muy positivo
 los cortes de 9 de julio?,Positivo
" hay muchos federales que sobrevivieron,",Positivo
 con que muera uno es un drama tremendo,Muy negativo
 de digitalizarlos y eliminarlos que no sirven.,Negativo
 Yo lo que pretendo es ayudar acercando soluciones.,Positivo
" Listo, perfecto.",Muy positivo
 tiene gente que vive en una situación,Negativo
" Buenas tardes, Alejandro Cancelare.",Positivo
" Entonces, lo que promueves",Positivo
 como viene siendo la política argentina del último casi,Positivo
 te pongo frente a dos modelos de conducta,Positivo
 a la justicia,Positivo
 Te preocupa la grieta.,Muy negativo
 perdían sus seres queridos,Negativo
" que puedan elegir su camino con igualdad de oportunidades,",Positivo
 después la pandemia,Negativo
 Lo asesinaron en Mar del Plata el día del padre.,Negativo
" Y esto es solo el principio. Tenemos en los próximos años previsto potenciar los aprendizajes de ciencia, matemática y tecnología.",Positivo
 gente que tiene miedo de salir de la,Negativo
 cambio y recorre la provincia tuve en,Negativo
" Ni te preocupa eso, no puede pasar nunca.",Muy negativo
 Hoy la situación es diferente.,Negativo
 no en avellaneda perfectamente,Negativo
 a la presidencia compartida con otro de los agentes,Positivo
 Te agradezco mucho.,Muy positivo
 locos que el estado nos deje laborar,Negativo
" Y dejar que la gente trabaje,",Negativo
 Te lo digo a vos mirando los ojos,Positivo
 las misiones,Muy negativo
 si yo estiendo a creer que no hay que hacer y,Neutral
 no te piden casco,Negativo
 conurbano sintetizanos que percibes,Positivo
 replicable por ejemplo del conurbano,Positivo
" o terminamos con las peleas,",Neutral
 dialogarán con los diputados,Positivo
" que es la primera vez, desde la vuelta de la democracia,",Positivo
 Pero le sacan el plan,Positivo
" Bueno, porque le sacan el plan",Positivo
" Tuvimos momentos donde nos entendimos más,",Positivo
 Es la tasa delito más baja de toda Latinoamérica.,Negativo
" eramos varios en la mesa,",Positivo
 Es una reta en campaña presidencial.,Negativo
 cuando nosotros creemos que la seguridad es prioridad,Positivo
 Lo buscan en los barrios,Positivo
 Yo me comprometo a dialogar,Positivo
 y es uno de los responsables,Positivo
" Años de impulsar cambios, como hicimos en la ciudad de Buenos Aires.",Positivo
 Ahora sabemos que la integración real es un proceso largo,Positivo
" Durante más de 15 años gobernamos con un plan,",Positivo
" cuando para mí la apertura al mundo, la inserción,",Positivo
 de la historia de la ciudad,Positivo
 Y tiene que acompañarlos en su desarrollo.,Positivo
