start,end,text,politico
238.0,240.0," y la vi en el hondre, como vos",larreta
240.0,241.0, No cortan la calle,larreta
241.0,242.0, Pero además es una vez cada tanto,larreta
242.0,243.0, No es todas las semanas,larreta
243.0,244.0," Una, una",larreta
244.0,245.0, Por eso es una,larreta
245.0,246.0, como hay en todas las ciudades del mundo,larreta
246.0,247.0, Entonces,larreta
247.0,248.0, vos me preguntas a mí,larreta
248.0,251.0, ¿Cómo se reducen significativamente,larreta
251.0,252.0, los cortes de 9 de julio?,larreta
252.0,253.0, Así como yo te dije,larreta
253.0,255.0," Ahora, vos me podrías hacer otra pregunta",larreta
255.0,256.0, Me pongo del lado tuyo,larreta
256.0,258.0," Bueno, ¿por qué no lo sacás ahora",larreta
258.0,259.0, con la policía?,larreta
259.0,260.0, ¿Pero qué me podías preguntar?,larreta
260.0,261.0, Bueno,larreta
261.0,263.0, Si entendés que no se puede,larreta
263.0,264.0," No, no",larreta
264.0,265.0, ¿Sabe por qué no?,larreta
265.0,267.0, Porque salió una guerra civil,larreta
267.0,269.0," y te pondrían, te sacarían",larreta
269.0,270.0, Digo yo,larreta
270.0,271.0, Me dejan que te explique un minuto,larreta
271.0,272.0," Sí, pero",larreta
272.0,273.0, Tenemos tiempo,larreta
273.0,274.0," No, no te preocupes",larreta
274.0,276.0, Te hago una pregunta,larreta
276.0,279.0, Si vos llegas el 10,larreta
279.0,280.0, Sí,larreta
280.0,281.0, Y haces eso el 11,larreta
281.0,282.0, Te digo yo,larreta
282.0,283.0, Sí,larreta
283.0,284.0, Decí que murió una,larreta
284.0,285.0, que bonafini,larreta
285.0,286.0, Pero el resto,larreta
286.0,287.0, te hace un helicóptero amarillo,larreta
287.0,288.0, de cartón,larreta
288.0,290.0, Y te tiran 250 toneladas de piedra,larreta
290.0,291.0, 2000 toneladas,larreta
291.0,292.0, Y qué hacemos?,larreta
292.0,293.0, Ahí la policía,larreta
293.0,294.0, Me la van con día,larreta
294.0,295.0, van en el segundo día,larreta
295.0,296.0, tercer día,larreta
296.0,298.0, En un momento,larreta
298.0,300.0, la gente que va a la manifestación,larreta
300.0,302.0, se va a enterar y dar cuenta,larreta
302.0,304.0, de que puede no ir,larreta
304.0,305.0, y nadie le corta el plan,larreta
305.0,306.0, Y ahí se acabó,larreta
306.0,307.0, Y sí,larreta
307.0,310.0, La gente va a la manifestación,larreta
310.0,312.0, en su mayoría,larreta
312.0,313.0, porque si no va le sacan el plan,larreta
313.0,315.0, Pero vos sabés que esa gente le dicen,larreta
315.0,316.0, Dicen que no le van a sacar el plan,larreta
316.0,318.0, y la gente vuelve a ir,larreta
318.0,320.0, La gente no es tonta,larreta
320.0,322.0, Hoy efectivamente le sacan el plan,larreta
322.0,324.0, Porque tienen el poder para sacarlo,larreta
324.0,326.0, Lo buscan en los barrios,larreta
326.0,327.0, Por supuesto,larreta
327.0,328.0, Pero le sacan el plan,larreta
328.0,329.0, y que no va la marcha,larreta
329.0,331.0, ¿Cuánta gente,larreta
331.0,332.0, entrevistan ustedes,larreta
332.0,333.0, ahí en las marchas,larreta
333.0,334.0, que les dicen eso?,larreta
334.0,335.0, No saben por qué están,larreta
335.0,336.0," Bueno, porque le sacan el plan",larreta
336.0,337.0, y entonces,larreta
337.0,338.0, No va a ser por eso,larreta
338.0,340.0, Le tendrá miedo un día,larreta
340.0,341.0," dos días, tres días",larreta
341.0,342.0, En un momento,larreta
342.0,343.0, la gente se va a dar cuenta,larreta
343.0,344.0, que no va la marcha,larreta
344.0,346.0, y sigue cobrando el plan,larreta
346.0,347.0, Y si acabó la movilización,larreta
347.0,348.0, Vos decís un momento,larreta
348.0,349.0, pueden pasar diez años más,larreta
349.0,350.0," No, no, no",larreta
350.0,351.0, A fin de mes,larreta
351.0,352.0," Vabi, a fin de mes",larreta
352.0,353.0, van a ir a cobrar,larreta
353.0,354.0, Sabes qué nos pasa,larreta
354.0,355.0, A veces eso te pego,larreta
355.0,357.0, le pego a todos,larreta
357.0,359.0, No le pego a unris,larreta
359.0,360.0, porque estás sin plata,larreta
360.0,361.0, para la campaña,larreta
361.0,363.0, Entonces digo,larreta
363.0,364.0, pegarle a alguien,larreta
364.0,365.0, que está luchando,larreta
365.0,368.0, como un puntillo de barde,larreta
368.0,369.0, hablo con total honestidad,larreta
369.0,370.0, Le pego a Máquina,larreta
370.0,371.0, Vos decís aquí,larreta
371.0,372.0, que está como la gata,larreta
372.0,373.0, por eso,larreta
373.0,374.0," Pero, ojo, les pego",larreta
374.0,376.0, a los que voy a poder votar,larreta
376.0,377.0, a los de enfrente,larreta
377.0,378.0, los destrozo,larreta
378.0,379.0, porque hicieron pelota,larreta
379.0,380.0, al país,larreta
380.0,381.0," Pero, lo que te digo de vos",larreta
381.0,382.0, por ejemplo,larreta
382.0,383.0, Vos me preguntaste,larreta
383.0,384.0, cómo se cortan los piquetes,larreta
384.0,385.0, y no te contesté claramente,larreta
385.0,386.0, el día de diciembre,larreta
386.0,387.0," Pero hay dos fórmulas, ¿no?",larreta
387.0,389.0, Es nada fórmula que yo te digo,larreta
389.0,390.0, pero esto es fácil,larreta
390.0,391.0, no le doy más plata,larreta
391.0,393.0, y yo trae tener la barada,larreta
393.0,395.0, tener todos los sindicatos,larreta
395.0,396.0, Yo no dije que era fácil,larreta
396.0,397.0, Por eso,larreta
397.0,398.0, No es un día,larreta
398.0,399.0, No es un día,larreta
399.0,401.0, y es mucho palazzo ahí en el medio,larreta
401.0,403.0, Yo no dije que era fácil,larreta
403.0,405.0, Te dije cómo se corta esto,larreta
405.0,406.0, Hay que bancarse un día,larreta
406.0,408.0," dos días, cinco días, diez días",larreta
408.0,409.0," Los que sean, bhabé",larreta
409.0,411.0, En un momento la gente,larreta
411.0,412.0, se da cuenta,larreta
412.0,413.0, porque no es tonta,larreta
413.0,415.0, que no va a la manifestación,larreta
415.0,416.0, y el plan lo cobra igual,larreta
416.0,417.0, Y ahí se acabó,larreta
417.0,418.0, esta capacidad de movilizar,larreta
418.0,419.0, todas las semanas,larreta
419.0,421.0, Caran una manifestación cada tanto,larreta
421.0,422.0, pero no todas las semanas,larreta
422.0,425.0, Yo te escuché tu discurso otro día,larreta
425.0,426.0, ¿Qué hacemos con los que se robaron,larreta
426.0,429.0, al país diálogo o cárcel?,larreta
429.0,430.0, Los que se robaron,larreta
430.0,431.0, al país tienen que ir presos,larreta
431.0,432.0, Yo me comprometo,larreta
432.0,433.0, y lo digo claramente,larreta
433.0,434.0, grabarlo en el archivo,larreta
434.0,435.0, Yo me comprometo a dialogar,larreta
435.0,438.0, Con todos los que la gente vote,larreta
438.0,440.0, Si yo soy elegido presidente,larreta
440.0,441.0, va a haber gobernadores,larreta
441.0,442.0, que todos se votan ahora,larreta
442.0,444.0, dialogaré con los gobernadores,larreta
444.0,445.0, que la gente elija,larreta
445.0,446.0, Eso es democrático,larreta
446.0,448.0, Algunos de ellos eran de mi partido,larreta
448.0,449.0, y otros no,larreta
449.0,450.0, ¿O Cristina es condenada,larreta
450.0,452.0, y también la gente la va a votar?,larreta
452.0,453.0, ¿Qué haces?,larreta
453.0,454.0, ¿No hablas con Cristina,larreta
454.0,455.0, o sí hablas,larreta
455.0,456.0, porque la van a votar también,larreta
456.0,458.0, Pero si dijo que no iba a ser candidata,larreta
458.0,459.0," No, dijo que se arrepintió",larreta
459.0,460.0," No, no sé si escucha",larreta
460.0,461.0, Dijo que no iba a ser candidata,larreta
461.0,462.0," No, se arrepintió",larreta
462.0,463.0," No, pero dijo que no iba a ser candidata",larreta
463.0,464.0," No, pero dijo que tanta",larreta
464.0,465.0, Pero ahora...,larreta
465.0,466.0," Espera, espera, espera",larreta
466.0,467.0, Si Cristina está en el Congreso,larreta
467.0,468.0, Sí,larreta
468.0,470.0, Los diputados y senadores nuestros,larreta
470.0,471.0, dialogarán con los diputados,larreta
471.0,473.0, si se no es elegidos por la gente,larreta
473.0,474.0, Si hay un gobernador elegido,larreta
474.0,475.0, que a mí no me gusta el otro partido,larreta
475.0,476.0, tengo que dialogar igual,larreta
476.0,477.0, tengo que respetar el otro a la gente,larreta
477.0,478.0," Ahora, esto también",larreta
478.0,479.0, es el orden constitucional,larreta
479.0,481.0, Pero digo,larreta
481.0,482.0, ¿Cómo es posible?,larreta
482.0,483.0, Y te lo pregunto,larreta
483.0,484.0, desde la confianza,larreta
484.0,485.0, que ya no se convivieron,larreta
485.0,486.0, Obvio,larreta
486.0,487.0, ¿Cómo es posible que el Congreso,larreta
487.0,488.0, y el Senado,larreta
488.0,491.0, sea un aguantadero delincuente?,larreta
491.0,493.0," Hay que ganarles de elección, Bobby",larreta
493.0,494.0, Hay que poner más diputados nuestros,larreta
494.0,495.0, Yo estoy ayuntando,larreta
495.0,496.0," Pero digo, ¿cómo es posible que",larreta
496.0,498.0, que te inviten la mancha veneno,larreta
498.0,499.0, o esa piedra?,larreta
499.0,500.0, ¿Cómo es posible que el otro día,larreta
500.0,501.0, me dicen lo que pasa,larreta
501.0,503.0, que si les sacaban los fuertes a Cristina,larreta
503.0,505.0, solo tenían que sacar a Menem?,larreta
505.0,506.0," Entonces, ¿de qué es esto?",larreta
506.0,508.0, ¿La cadena de los favores?,larreta
508.0,511.0, Cristina se le termina el mandato,larreta
511.0,512.0, el día de diciembre,larreta
512.0,515.0, Ella dijo que no iba a ser candidata,larreta
515.0,516.0, Yo voy a dialogar,larreta
516.0,519.0, con todo lo que sea elegido por la gente,larreta
519.0,520.0, Y eso es democrático,larreta
520.0,521.0, Yo no puedo decir,larreta
521.0,522.0, si el gobernador tal no me gusta,larreta
522.0,523.0, lo eligió la gente,larreta
523.0,524.0, entonces no le hablo,larreta
524.0,525.0," Existe eso, no está bien",larreta
525.0,526.0, No está bien,larreta
526.0,527.0, Entonces hay que dialogar,larreta
527.0,528.0, con los que la gente elija,larreta
528.0,529.0, y los va a elegir ahora,larreta
529.0,530.0, hasta próximos meses,larreta
530.0,531.0, Está bien,larreta
531.0,532.0, Hay gente con la que se puede dialogar,larreta
532.0,534.0, y gente con la que por más que lo elijan,larreta
534.0,535.0, no se puede dialogar,larreta
535.0,536.0, con los mentirosos,larreta
536.0,537.0, con los embusteros,larreta
537.0,539.0, con los chorros que no los encontraron,larreta
539.0,540.0, no se puede dialogar,larreta
540.0,542.0, Lo que puede pasar,larreta
542.0,543.0, una cosa es dialogar,larreta
543.0,545.0, y otra gafa muy diferente es acordar,larreta
545.0,548.0, Yo con muchísimos de ellos,larreta
548.0,549.0, con el inquisinarismo,larreta
549.0,550.0, no acordaría nada,larreta
550.0,552.0," O sea, con un gente",larreta
552.0,554.0, que liberó preso de las cárceles,larreta
554.0,555.0, que me cerró las escuelas,larreta
555.0,556.0, y yo la mantuve abiertas,larreta
556.0,558.0, que solo su amigo de Venezuela,larreta
558.0,559.0, Cuba y Nicaragua,larreta
559.0,561.0, que le hacen un juicio político,larreta
561.0,562.0, a la corte,larreta
562.0,563.0, o que quieren bajar la inflación,larreta
563.0,564.0, mandando militante de la campo,larreta
564.0,565.0, a los supermercados,larreta
565.0,567.0, Yo no me voy a poner de acuerdo,larreta
567.0,568.0, No me voy a poner de acuerdo,larreta
568.0,570.0, porque no creo en eso,larreta
570.0,571.0," Ahora, de vuelta",larreta
571.0,572.0, a los que están votados,larreta
572.0,574.0, por la gente democráticamente,larreta
574.0,576.0," gobernadores, intendentes",larreta
576.0,578.0, es responsabilidad del presidente,larreta
578.0,579.0, dialogar con ellos,larreta
579.0,580.0," Después, con algunos te pondrás",larreta
580.0,581.0, de acuerdo y con otros no,larreta
581.0,582.0, Y eso es democracia,larreta
582.0,584.0," Perdón, pero con Macri",larreta
584.0,585.0, pasó lo mismo,larreta
585.0,586.0, y muchos gobernadores,larreta
586.0,588.0, elegidos por la gente,larreta
588.0,590.0, no querían dialogar con Macri,larreta
590.0,592.0, o no van a querer dialogar con vos,larreta
592.0,593.0," Infran, por ejemplo",larreta
593.0,594.0, o había intendentes,larreta
594.0,595.0, que no querían inaugurar obras,larreta
595.0,597.0, porque gobernaba la derecha,larreta
597.0,598.0, caso la matanza,larreta
598.0,600.0, Si no quieren dialogar,larreta
600.0,601.0, uno no los puede obligar,larreta
601.0,602.0, Lo que yo puedo garantizar,larreta
602.0,604.0, es mi disposición al diálogo,larreta
604.0,605.0, Con aquellos que la gente,larreta
605.0,606.0," eligió, hay que respetar",larreta
606.0,607.0, el voto a la gente,larreta
607.0,609.0, Si el otro no quiere dialogar,larreta
609.0,610.0, es cosa del otro,larreta
610.0,612.0, Acá me dice un amigo mío,larreta
612.0,614.0," periodista, me está escribiendo",larreta
614.0,615.0, Me escribiste una pregunta,larreta
615.0,616.0, Sabes que hace 80 años,larreta
616.0,618.0, peleándonos argentinos,larreta
618.0,619.0, contra argentinos,larreta
619.0,620.0, y así estamos,larreta
620.0,621.0, ¿Intentemos algo diferente?,larreta
621.0,622.0," Sí, escuchá, me dice",larreta
622.0,623.0," acá, dale, mi amigo",larreta
623.0,624.0, ¿Qué dice?,larreta
624.0,625.0, Si el puntero va a ser,larreta
625.0,627.0, el estado de los planes,larreta
627.0,628.0," No, el estado tiene que ser",larreta
628.0,629.0, el que decide,larreta
629.0,631.0, si Fulano necesita un plan,larreta
631.0,633.0, ¿Y cuánto tiempo los planes?,larreta
633.0,635.0, Los planes a término,larreta
635.0,636.0, Hay países que tienen 6 meses,larreta
636.0,637.0, es otro que tienen 6 meses,larreta
637.0,638.0, renovables por una vez,larreta
638.0,639.0," No, no",larreta
639.0,640.0," Lo tenemos, esperad, lo tenemos",larreta
640.0,641.0, muy estudiado,larreta
641.0,642.0," Te digo, por ejemplo, una cosa",larreta
642.0,643.0, que estudiamos en Italia,larreta
643.0,644.0, que funciona,larreta
644.0,645.0, Los que reciben plan,larreta
645.0,646.0, tienen que anotarse,larreta
646.0,648.0, en una bolsa de trabajo,larreta
648.0,649.0, ¿No? Por oficio,larreta
649.0,651.0, Si vos le ofreces un trabajo,larreta
651.0,652.0, hay casos que es,larreta
652.0,653.0, si lo ofreces dos,larreta
653.0,654.0, dos veces un trabajo,larreta
654.0,655.0, Tres,larreta
655.0,656.0," Sí, dos o tres",larreta
656.0,657.0, Tres es un poco mucho,larreta
657.0,658.0, dos veces,larreta
658.0,659.0," No, y no aceptan",larreta
659.0,661.0, el trabajo pierden el plan,larreta
661.0,662.0," Entonces, lo que promueves",larreta
662.0,664.0, es que la gente tome el trabajo,larreta
664.0,665.0, Hoy es al revés,larreta
665.0,667.0, El que le ofrece un trabajo,larreta
667.0,668.0, pierde el plan,larreta
668.0,669.0, con lo cual,larreta
669.0,670.0, hoy no tenés gente,larreta
670.0,671.0, para recolectarlas ya,larreta
671.0,672.0, las misiones,larreta
672.0,673.0, no tenés quien levante las manzanas,larreta
673.0,674.0, y las peras en Río Negro,larreta
674.0,675.0, No dio todo lo de a la UBA,larreta
675.0,677.0," Acá, acá en este barrio de acá",larreta
677.0,678.0, no tiene lo gastronómico,larreta
678.0,679.0," los bares, los boliches",larreta
679.0,680.0, que en esta zona genera,larreta
680.0,681.0, mucho laburo,larreta
681.0,682.0, no consiguen trabajadores,larreta
682.0,683.0, Debe explicar,larreta
683.0,684.0, Hay que cambiar la lógica,larreta
684.0,685.0, de los planes,larreta
685.0,686.0, Yo veo Martínez,larreta
686.0,687.0, tenemos cuatro chorros,larreta
687.0,688.0, por día en la puerta,larreta
688.0,690.0, pero no tenemos jardineros,larreta
690.0,691.0, Por esto que yo te digo,larreta
691.0,692.0, Por esto que yo te digo,larreta
692.0,693.0, No hay jardineros,larreta
693.0,694.0, Pero la pregunta mía,larreta
694.0,696.0, y la gente acá,larreta
696.0,697.0, hasta Javier Díaz,larreta
697.0,698.0, todas escriben,larreta
698.0,700.0, Preguntan si es cambiar de mano,larreta
700.0,701.0, porque lo que me parece,larreta
701.0,703.0, es que ya se le dio demasiado,larreta
703.0,705.0, es como el disminuto de la mujer,larreta
705.0,707.0, Hablada entre mil millones de mangos,larreta
707.0,708.0, Es mucha guita,larreta
708.0,710.0, y hay pibes que no morfan,larreta
710.0,712.0, La plata del Estado,larreta
712.0,713.0, tiene que tapar educación,larreta
713.0,714.0, tres temas,larreta
714.0,716.0," educación, salud y seguridad",larreta
716.0,718.0, educación o comedero escolar,larreta
718.0,720.0, educación,larreta
720.0,721.0, salud y seguridad,larreta
721.0,723.0, son las tres prioridades del Estado,larreta
723.0,724.0, eso lo tiene que garantizar,larreta
724.0,726.0, con la guita del Estado,larreta
726.0,728.0, Yo,larreta
728.0,729.0, yo gobierno,larreta
729.0,730.0, con lo cual eso es lo que hago,larreta
730.0,731.0, en la ciudad de Buenos Aires,larreta
731.0,732.0, y la peleo todos los días,larreta
732.0,734.0, para tener la mejor educación posible,larreta
734.0,735.0, la mejor seguridad posible,larreta
735.0,736.0, la mejor salud posible,larreta
736.0,737.0, y estoy orgulloso,larreta
737.0,739.0, nos podríamos quedar el programa entero,larreta
739.0,740.0, hablando de lo que falta,larreta
740.0,741.0, para hacer en la ciudad,larreta
741.0,742.0, por supuesto que faltan cosas,larreta
742.0,743.0, ahora yo estoy orgulloso,larreta
743.0,744.0, el laburo que hicimos,larreta
744.0,745.0," educación, salud y seguridad",larreta
745.0,747.0, ahora,larreta
747.0,748.0, es mi idea como ciudadano,larreta
748.0,749.0, yo creo que el que venga,larreta
749.0,751.0, tiene que tener mucho huevo,larreta
751.0,753.0, y mano rígida,larreta
753.0,754.0, pero no digo dura,larreta
754.0,756.0, porque se enojan lo de izquierda,larreta
756.0,757.0, pero digo rígida,larreta
757.0,758.0," mano firme, sí",larreta
758.0,759.0, mano firme,larreta
759.0,760.0, pero mano firme no de,larreta
760.0,761.0, vamos a ver qué hacemos,larreta
761.0,763.0, mano firme de hagámoslo,larreta
763.0,765.0, mano firme de hagámoslo,larreta
765.0,767.0, no de gritemos de la tribuna,larreta
767.0,769.0, acá no es el que grita más fuerte,larreta
769.0,770.0, de la tribuna el que pute al otro,larreta
770.0,771.0, el que se hace el...,larreta
771.0,772.0," no, no, no",larreta
772.0,774.0, mano firme que tener,larreta
774.0,775.0, por ejemplo,larreta
775.0,777.0, cuando a mí me quisieron,larreta
777.0,778.0, cerrarnos las escuelas,larreta
778.0,779.0, en la ciudad de Buenos Aires,larreta
779.0,780.0, yo me planté,larreta
780.0,781.0, le dije que no,larreta
781.0,782.0, me metieron una de un sapienal,larreta
782.0,783.0, la mantuve abiertas,larreta
783.0,784.0, termine en la corte,larreta
784.0,785.0, y le gané,larreta
785.0,786.0, y no pardemos un solo día,larreta
786.0,788.0, ¿cuándo vuelve de Alessandro?,larreta
788.0,789.0, que fue tu mejor,larreta
789.0,790.0, se vence,larreta
790.0,792.0, se vence su licencia,larreta
792.0,793.0, el fin de marzo,larreta
793.0,794.0, primeros días de...,larreta
794.0,795.0, fue para año nuevo,larreta
795.0,796.0, te vas?,larreta
796.0,797.0, 3 meses,larreta
797.0,798.0, 90 días,larreta
798.0,799.0, fin de marzo,larreta
799.0,800.0, principio de abril,larreta
800.0,801.0, lo voy a hablar con él,larreta
801.0,802.0, sentiste que falta,larreta
802.0,803.0, al alesarnos en la calle,larreta
803.0,804.0," bueno, es un gran...",larreta
804.0,806.0, gran miembro de nuestro equipo,larreta
806.0,807.0, el año pasado,larreta
807.0,808.0," te digo, así de claro",larreta
808.0,809.0, el año pasado,larreta
809.0,811.0, fue el año de menor delito,larreta
811.0,812.0, de la historia de la ciudad,larreta
812.0,813.0, por eso digo,larreta
813.0,814.0, de menor delito de la historia de la ciudad,larreta
814.0,816.0, obviamente cuando suceda un caso,larreta
816.0,817.0, dramático,larreta
817.0,818.0, como el del chico venezolano,larreta
818.0,820.0, cualquier estadística que uno dé,larreta
820.0,821.0, no sirve para nada,larreta
821.0,822.0, es un drama,larreta
822.0,823.0, es un drama,larreta
823.0,824.0, le mando mis cariños a la familia,larreta
824.0,826.0, un drama y no es estadística que valga,larreta
826.0,827.0," ahora, pero también",larreta
827.0,828.0, nosotros el trabajo,larreta
828.0,829.0, lo vamos viendo con los datos,larreta
829.0,832.0, y Marcelo es uno de los protagonistas,larreta
832.0,834.0, de todo el trabajo que se hizo,larreta
834.0,835.0, para mejorar la seguridad,larreta
835.0,836.0, creo que...,larreta
836.0,837.0, hay que pelearla y que mejorarla,larreta
837.0,838.0, estamos reforzando un poco,larreta
838.0,839.0," toda esta franja, esta zona",larreta
839.0,841.0, a Marcelo lo vi una vez o dos,larreta
841.0,843.0, pero considero y consideramos,larreta
843.0,845.0, los periodistas que es el mejor,larreta
845.0,847.0, secretario de seguridad que tuvo,larreta
847.0,848.0, la capital,larreta
848.0,851.0, el amabulo que ha hecho fue espectacular,larreta
851.0,852.0, es un laburante Marcelo,larreta
